;nbChr20-nbStep10;nbChr20-nbStep10-1;nbChr200-nbStep100;nbChr20-nbStep10-3
nbVoisins1_alpha;0.825176311494;0.0;0.729339835035;0.0
nbVoisins1_beta;0.0;-0.158804644282;0.0;0.0
nbVoisins1_gamma;0.0;0.0;0.00150340631167;0.0
nbVoisins_alpha;0.0;-0.159486757865;0.0;0.0
nbVoisins_beta;0.114205863872;-0.0660559566527;0.426305899765;0.39767470872
nbVoisins_gamma;0.346360570719;0.680102644529;0.62189008048;0.0
propSumVoisins1_alpha;0.0;0.225150705075;0.078359521153;0.121944862766
propSumVoisins1_beta;-0.145358038921;0.0;0.0;-0.521734436823
propSumVoisins1_gamma;-0.330447562239;-0.47781350818;0.127141382997;0.0
propVoisins1_alpha;-0.695636292382;-0.477102587243;0.536416880681;0.0
propVoisins1_beta;-0.127489375559;0.243212344398;0.0;-0.716733092171
propVoisins1_gamma;0.0;0.129998516324;0.036357183039;0.0
size_alpha;0.0;0.020227228332;0.0823796481243;0.931266562977
size_beta;0.413577133244;0.357850789833;0.609968732366;0.0
size_gamma;0.0;0.0;-0.0428903792881;0.0
sumVoisins1_alpha;0.0;0.0;0.0410512528278;0.0
sumVoisins1_beta;0.0;0.0;-0.484319047268;-0.24596955211
sumVoisins1_gamma;-0.205111179572;0.019954573421;-0.463800732909;0.0
sumVoisins_alpha;0.0;0.0;-0.0451899302269;-0.288182046131
sumVoisins_beta;0.300690662764;-0.627206584108;0.0;-0.0718566534715
sumVoisins_gamma;0.0314103621622;-0.0787566140785;-0.351372976522;0.0
