;nbChr20-nbStep10;nbChr20-nbStep10-1;nbChr20-nbStep10-2;nbChr200-nbStep100;nbChr40-nbStep100;nbChr40-nbStep100-5;nbChr40-nbStep100-6;nbChr100-nbStep200;nbChr100-nbStep200-8;nbChr100-nbStep200-9;nbChr100-nbStep200-10;nbChr100-nbStep200-11;nbChr100-nbStep200-12;nbChr100-nbStep200-13;nbChr100-nbStep200-14;nbChr100-nbStep200-15;nbChr100-nbStep200-16;;;nb Zero Value;;moyenne;;;;;;;;;;;;;variance;variance relative;variance relative
nbVoisins1_alpha;-0,488578235;0;0;0;-0,085960879;0;0;0,002463963;0,091669023;0;0;0,765511106;0;0;-0,1423155;0,784755176;0;;;50%;;;;;;;;;;;;;;;;;
nbVoisins1_beta;0,161727243;0;0,289977664;-0,099498256;-0,321656304;0;-0,137893151;0;0;0;0,235501615;-0,01406744;0,744191823;-0,033340408;0;-0,406377275;-0,036175317;;;40%;;;;;;;;;;;;;;;;;
nbVoisins1_delta;0;0;0;0,107691347;0;0;0;0;0,458353175;-0,042331784;-0,132343269;-0,01909023;0,623279079;0,23153019;0;-0,017188213;-0,05047172;;;20%;;0,131467153;;0,017283612;0,106854471;0,030206071;0,069595939;0,022667526;0,24187897;0,010012611;0,017283612;0,022098418;0,033101754;;0,238952503;;182%
nbVoisins1_epsilon;-0,440520692;0;-0,584378001;0;0;0;0;0,018907897;0;0,995582079;-0,009523209;0;0;0;0;0;0;;;70%;;0;;0,000357509;0;0,991183676;9,06915E-05;0;0;0;0;0;0;;0,31490187;31%;
nbVoisins1_gamma;0;0;-0,30937014;0;0,069642128;0;0;0,392126142;0,509936316;0;0,200031169;0;0,254228705;0;0;0,393512978;0,001683275;;;40%;;;;;;;;;;;;;;;;;
nbVoisins1_phi;-0,327304634;0;0;-0,486977389;0;0;0;-0,274029183;-0,222051348;0;0,003795431;-0,110635099;0;-0,00584395;0;-0,239673342;-0,357511208;;;30%;;;;;;;;;;;;;;;;;
nbVoisins_alpha;0;0,290029307;0;0;0;0,259107538;-0,177117328;8,88E-05;0;-0,004485449;0,358672759;0;0;0,017429458;-0,084337313;-0,032671317;0,18056362;;;30%;;;;;;;;;;;;;;;;;
nbVoisins_beta;0;0,70348652;0;0;0;0;0;-0,002534267;0;-0,105071209;-0,352623133;0;0,010105398;-0,161214945;0,014809531;0;0;;;40%;;;;;;;;;;;;;;;;;
nbVoisins_delta;0;0,957700685;0;0,247691499;0,102406839;0;0,441252063;0,010496924;0;0,149678705;0,037035721;0,001738876;0;0;-0,015521378;-0,375186107;0,19718705;;;30%;;;;;;;;;;;;;;;;;
nbVoisins_epsilon;0;0;0;0;0;0;0;-0,098699269;0,113252362;0;0,120946931;0,017456886;0;0,037983959;0;0;0;;;50%;;;;;;;;;;;;;;;;;
