;nbChr20-nbStep10;nbChr20-nbStep10-1;nbChr20-nbStep10-2;nbChr200-nbStep100;nbChr40-nbStep100;nbChr40-nbStep100-5;nbChr40-nbStep100-6;nbChr100-nbStep200;nbChr100-nbStep200-8;nbChr100-nbStep200-9;nbChr100-nbStep200-10;nbChr100-nbStep200-11;nbChr100-nbStep200-12;nbChr100-nbStep200-13;nbChr100-nbStep200-14;nbChr100-nbStep200-15;nbChr100-nbStep200-16;nbChr100-nbStep200-67-17;nbChr100-nbStep200-66-18;nbChr100-nbStep200-67-19;nbChr100-nbStep200-69-20;nbChr100-nbStep200-68-21;nbChr100-nbStep200-66-22;nbChr100-nbStep200-67-23;nbChr100-nbStep200-67-24;nbChr100-nbStep200-65-25;nbChr100-nbStep200-71-26;nbChr100-nbStep200-68-27;nbChr100-nbStep200-65-28;nbChr100-nbStep200-68-29;nbChr100-nbStep200-62-30;nbChr100-nbStep200-64-31;nbChr100-nbStep200-64-32;nbChr100-nbStep200-66-33;nbChr100-nbStep200-68-34;nbChr100-nbStep200-64-35;nbChr100-nbStep200-67-36
nbVoisins1_alpha;-0.488578234763;0.0;0.0;0.0;-0.0859608794468;0.0;0.0;0.00246396346369;0.091669022771;0.0;0.0;0.765511106446;0.0;0.0;-0.142315499647;0.784755176418;0.0;0.0;0.0;0.0;-0.316201383152;0.0;-0.0428484784206;-0.405721105203;0.0;0.448633081777;-0.00281699367998;0.0;0.0;0.0;-0.492858157682;0.0;0.0;-0.597187749543;-0.719772186141;-0.45563000263;0.0
nbVoisins1_beta;0.161727242814;0.0;0.28997766419;-0.0994982560034;-0.321656304378;0.0;-0.137893151232;0.0;0.0;0.0;0.235501614677;-0.014067439879;0.744191823215;-0.0333404079279;0.0;-0.406377274893;-0.0361753169802;0.875462471698;0.0;0.0;-0.0304876911245;0.0;0.0;-0.049713976502;-0.0122901983711;0.0;0.0;0.541595403464;-0.00704639118526;0.0157538852628;0.0;0.0;-0.417729422845;0.0;0.0;0.0;0.0
nbVoisins1_delta;0.0;0.0;0.0;0.107691346855;0.0;0.0;0.0;0.0;0.458353174724;-0.0423317843388;-0.132343269171;-0.0190902301613;0.623279079303;0.231530189806;0.0;-0.017188213173;-0.0504717198344;0.0;0.949585775531;-0.1047430858;0.249869968203;0.242772271753;0.317395710865;0.0;-0.147278514682;-0.088691039208;0.077620469655;0.0;0.0908172800825;0.0;0.0;0.0;0.376409961373;0.691391127323;0.0;0.0;0.0
nbVoisins1_epsilon;-0.44052069155;0.0;-0.584378000703;0.0;0.0;0.0;0.0;0.0189078974053;0.0;0.995582078823;-0.00952320855977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nbVoisins1_gamma;0.0;0.0;-0.309370139737;0.0;0.0696421280488;0.0;0.0;0.392126142429;0.509936315887;0.0;0.200031168511;0.0;0.254228705391;0.0;0.0;0.393512977831;0.00168327518014;0.0;0.0;0.0460787102551;0.235675317308;0.0;0.0;0.0;0.304641992431;0.00789953546847;0.0;0.457967028977;0.0;0.0;0.0;0.0;0.520022804029;0.0562384492427;0.354606364884;0.0732251056752;0.276239622911
nbVoisins1_phi;-0.327304633696;0.0;0.0;-0.48697738909;0.0;0.0;0.0;-0.274029183394;-0.222051348364;0.0;0.00379543146244;-0.110635098815;0.0;-0.00584395014971;0.0;-0.239673341891;-0.357511208149;-0.0876859356992;0.0;0.0;-0.495993615913;0.0;0.0;0.0;0.0;0.0;-0.0825325716251;-0.575972686663;0.0;-0.769931576218;0.0;0.0;0.0;0.0;-0.438477756089;0.0;0.0
nbVoisins_alpha;0.0;0.290029307415;0.0;0.0;0.0;0.259107538135;-0.177117328025;8.88168980089e-05;0.0;-0.00448544899396;0.358672759019;0.0;0.0;0.0174294581192;-0.0843373125707;-0.0326713174369;0.180563620303;0.0;0.0;0.0;0.0;0.552790559521;0.160327906746;0.0;0.471983050084;0.158878295957;0.0;0.0;0.0;0.0;0.0;0.0;-0.371562727871;0.0;0.0;0.0;0.0
nbVoisins_beta;0.0;0.703486519831;0.0;0.0;0.0;0.0;0.0;-0.00253426665513;0.0;-0.105071208865;-0.352623132597;0.0;0.0101053982165;-0.161214944917;0.0148095310279;0.0;0.0;-0.0143458003496;0.328023005031;0.0105671164659;0.315993248546;0.0282819948018;0.0;0.0;0.0;0.0;-0.0785832497247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nbVoisins_delta;0.0;0.957700685277;0.0;0.247691499024;0.102406838889;0.0;0.441252063427;0.0104969239542;0.0;0.149678704751;0.0370357213154;0.00173887580739;0.0;0.0;-0.0155213775408;-0.375186106873;0.197187050153;0.0;0.0;0.0;-0.0491679565269;0.422185861072;0.0;0.0;0.0704756792337;-0.222887530323;-0.762471601246;0.0623370888816;0.0;-0.0551522366937;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nbVoisins_epsilon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0986992693069;0.113252362438;0.0;0.120946931055;0.0174568862249;0.0;0.0379839593289;0.0;0.0;0.0;-0.035852030923;0.0;-0.0470921226896;-0.803500733334;-0.0308878769238;0.0088926506902;-0.0295229320094;0.000349234503128;-0.364856135264;0.0;0.0;0.312104606933;0.0;-0.290488212983;0.0;0.0;0.238582567965;-0.032224483525;0.0;0.0
